EllipsoidCode,DatumCode,DatumName,EPSGCode,dX,dY,dZ,RMSError,EllipsoidName,Flattening,SemiMajorAxis
HOUGH_1960,HOUGH_1960_ELLIPSOID,Hough 1960 ellipsoid,7053,0,0,0,121.00,Hough 1960,297.0,6378270.0
HOUGH_1960,WAKE_ENIWETOK_1960,Wake-Eniwetok 1960,6732,102,52,-38,5.00,Hough 1960,297.0,6378270.0
INDONESIAN_1974,INDONESIAN_1974,Indonesian 1974,6238,-24,-15,5,43.00,Indonesian 1974,298.247,6378160.0
INTERNATIONAL_1924,AIN_EL_ABD_1970_MEAN,Ain el Abd 1970,6204,-147,-243,3,52.00,International 1924,297.0,6378388.0
INTERNATIONAL_1924,ASCENSION_ISLAND_1958,Ascension Island 1958,6712,-205,107,53,43.00,International 1924,297.0,6378388.0
INTERNATIONAL_1924,ASTRO_BEACON_E_1945,Astro Beacon E 1945,6709,145,75,-272,43.00,International 1924,297.0,6378388.0
INTERNATIONAL_1924,ASTRO_DOS_71_4,Astro DOS 71/4,6710,-320,550,-494,43.00,International 1924,297.0,6378388.0
INTERNATIONAL_1924,ASTRO_TERN_ISLAND_FRIG_1961,Astro Tern Island (FRIG) 1961,6707,114,-116,-333,43.00,International 1924,297.0,6378388.0
INTERNATIONAL_1924,ASTRONOMICAL_STATION_1952,Astronomical Station 1952,6711,124,-234,-25,43.00,International 1924,297.0,6378388.0
INTERNATIONAL_1924,BELLEVUE_IGN,Bellevue (IGN),6714,-127,-769,472,35.00,International 1924,297.0,6378388.0
INTERNATIONAL_1924,BISSAU,Bissau,6165,-173,253,27,43.00,International 1924,297.0,6378388.0
INTERNATIONAL_1924,BOGOTA_OBSERVATORY,Bogota Observatory,6218,307,304,-318,10.00,International 1924,297.0,6378388.0
INTERNATIONAL_1924,CAMP_AREA_ASTRO,Camp Area Astro,6715,-104,-129,239,50.00,International 1924,297.0,6378388.0
INTERNATIONAL_1924,CAMPO_INCHAUSPE,Campo Inchauspe,6221,-148,136,90,9.00,International 1924,297.0,6378388.0
INTERNATIONAL_1924,CANTON_ASTRO_1966,Canton Astro 1966,6716,298,-304,-375,26.00,International 1924,297.0,6378388.0
INTERNATIONAL_1924,CHATHAM_ISLAND_ASTRO_1971,Chatham Island Astro 1971,6672,175,-38,113,26.00,International 1924,297.0,6378388.0
INTERNATIONAL_1924,CHUA_ASTRO,Chua Astro,6224,-134,229,-29,12.00,International 1924,297.0,6378388.0
INTERNATIONAL_1924,CORREGO_ALEGRE,Corrego Alegre,6225,-206,172,-6,8.00,International 1924,297.0,6378388.0
INTERNATIONAL_1924,DOS_1968,DOS 1968,,230,-199,-752,43.00,International 1924,297.0,6378388.0
INTERNATIONAL_1924,EASTER_ISLAND_1967,Easter Island 1967,6719,211,147,111,43.00,International 1924,297.0,6378388.0
INTERNATIONAL_1924,EUROPEAN_1950_EUROPE_MEAN,European 1950,6230,-87,-98,-121,54.00,International 1924,297.0,6378388.0
INTERNATIONAL_1924,EUROPEAN_1979,European 1979,6668,-86,-98,-119,5.00,International 1924,297.0,6378388.0
INTERNATIONAL_1924,GAN_1970,Gan 1970,6684,-133,-321,50,43.00,International 1924,297.0,6378388.0
INTERNATIONAL_1924,GEODETIC_DATUM_1949,Geodetic Datum 1949,,84,-22,209,8.00,International 1924,297.0,6378388.0
INTERNATIONAL_1924,GRACIOSA_BASE_SW_1948,Graciosa Base SW 1948,,-104,167,-38,5.00,International 1924,297.0,6378388.0
INTERNATIONAL_1924,GUX_1_ASTRO,GUX 1 Astro,,252,-209,-751,43.00,International 1924,297.0,6378388.0
INTERNATIONAL_1924,HERAT_NORTH,Herat North,6255,-333,-222,114,50.00,International 1924,297.0,6378388.0
INTERNATIONAL_1924,HITO_XVIII_1963,Hito XVIII 1963,6254,18,192,97,43.00,International 1924,297.0,6378388.0
INTERNATIONAL_1924,HJORSEY_1955,Hjorsey 1955,6658,-73,46,-86,7.00,International 1924,297.0,6378388.0
INTERNATIONAL_1924,HONG_KONG_1963,Hong Kong 1963,6738,-156,-271,-189,43.00,International 1924,297.0,6378388.0
INTERNATIONAL_1924,INTERNATIONAL_1924_ELLIPSOID,International 1924 ellipsoid,7022,0,0,0,2200.00,International 1924,297.0,6378388.0
INTERNATIONAL_1924,ISTS_061_ASTRO_1968,ISTS 061 Astro 1968,6722,-794,119,-298,43.00,International 1924,297.0,6378388.0
INTERNATIONAL_1924,ISTS_073_ASTRO_1969,ISTS 073 Astro 1969,6724,208,-435,-229,43.00,International 1924,297.0,6378388.0
INTERNATIONAL_1924,JOHNSTON_ISLAND_1961,Johnston Island 1961,6725,189,-79,-202,43.00,International 1924,297.0,6378388.0
INTERNATIONAL_1924,KERGUELEN_ISLAND_1949,Kerguelen Island 1949,,145,-187,103,43.00,International 1924,297.0,6378388.0
